Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2021-04-10,19:00,NWSL Challenge Cup,Group stage,Sat,Home,D,2,2,Pride,1.5,0.7,50,5300,Michelle Betos,4-4-2002,Katja Koroleva,Match Report,
2021-04-15,19:00,NWSL Challenge Cup,Group stage,Thu,Away,L,0,1,Spirit,1.5,1.2,43,,Michelle Betos,4-2-3-1,Danielle Chesky,Match Report,
2021-04-26,18:00,NWSL Challenge Cup,Group stage,Mon,Home,L,2,3,Courage,0.9,1.6,47,3742,Michelle Betos,4-2-3-1,Tori Penso,Match Report,
2021-05-02,12:30,NWSL Challenge Cup,Group stage,Sun,Away,D,0,0,Gotham FC,0.6,1.1,45,,Michelle Betos,4-2-3-1,Karen Abt,Match Report,
2021-05-15,17:00,NWSL,Regular Season,Sat,Home,D,0,0,Kansas City,,,51,6622,Michelle Betos,4-2-3-1,Adorae Monroy,Match Report,
2021-05-21,19:30,NWSL,Regular Season,Fri,Home,W,2,0,Spirit,,,40,6011,Michelle Betos,4-2-3-1,Katja Koroleva,Match Report,
2021-05-28,19:00,NWSL,Regular Season,Fri,Away,L,0,5,Courage,,,40,3902,Michelle Betos,4-2-3-1,Matthew Franz,Match Report,
2021-06-05,19:30 (22:30),NWSL,Regular Season,Sat,Away,L,0,3,Thorns,,,41,,Michelle Betos,4-2-3-1,Samantha Martinez,Match Report,
2021-06-20,15:00,NWSL,Regular Season,Sun,Home,W,1,0,Dash,,,49,5971,Michelle Betos,4-2-3-1,Laura Rodriguez,Match Report,
2021-06-23,19:30,NWSL,Regular Season,Wed,Home,L,0,2,Courage,,,37,6334,Michelle Betos,4-3-2003,Alyssa Nichols,Match Report,
2021-06-26,15:25 (16:25),NWSL,Regular Season,Sat,Away,W,3,0,Red Stars,,,50,2626,Michelle Betos,4-2-3-1,Greg Dopka,Match Report,
2021-07-03,19:30,NWSL,Regular Season,Sat,Home,L,0,2,Thorns,,,44,6822,Michelle Betos,4-2-3-1,Karen Callado,Match Report,
2021-07-09,19:00,NWSL,Regular Season,Fri,Away,D,1,1,Pride,,,51,3606,Michelle Betos,4-2-3-1,Natalie Simon,Match Report,
2021-07-25,19:30,NWSL,Regular Season,Sun,Home,L,0,2,Spirit,,,57,6422,Michelle Betos,4-3-2003,Samantha Martinez,Match Report,
2021-07-31,19:00 (22:00),NWSL,Regular Season,Sat,Away,L,0,2,Reign,,,51,3097,Michelle Betos,4-2-3-1,Laura Rodriguez,Match Report,
2021-08-08,15:00,NWSL,Regular Season,Sun,Home,W,3,1,Kansas City,,,53,5843,Michelle Betos,4-2-3-1,Danielle Chesky,Match Report,
2021-08-15,17:00,NWSL,Regular Season,Sun,Away,D,1,1,Gotham FC,,,43,2200,Michelle Betos,4-3-2003,Brad Jensen,Match Report,
2021-08-18,19:30,NWSL,Regular Season,Wed,Home,D,1,1,Red Stars,,,62,7310,Michelle Betos,4-2-3-1,Karen Abt,Match Report,
2021-08-25,19:00 (20:00),NWSL,Regular Season,Wed,Away,L,1,2,Kansas City,,,62,3997,Michelle Betos,4-4-2◆,Michael Radchuk,Match Report,
2021-08-29,18:30 (19:30),NWSL,Regular Season,Sun,Away,L,0,1,Dash,,,51,3292,Michelle Betos,4-2-3-1,Alex Billeter,Match Report,
2021-09-04,19:30,NWSL,Regular Season,Sat,Home,D,1,1,Reign,,,38,,Michelle Betos,4-4-2002,Tori Penso,Match Report,
2021-09-11,19:00,NWSL,Regular Season,Sat,Away,L,1,3,Pride,,,50,3822,Michelle Betos,4-4-2◆,Elton Garcia,Match Report,
2021-09-26,15:00,NWSL,Regular Season,Sun,Home,L,0,4,Dash,,,46,6374,Michelle Betos,4-4-2◆,Matthew Thompson,Match Report,
2021-10-06,19:30,NWSL,Regular Season,Wed,Away,L,1,3,Courage,,,30,3523,Savannah McCaskill,4-4-2002,Alyssa Nichols,Match Report,
2021-10-09,19:30,NWSL,Regular Season,Sat,Away,L,0,3,Spirit,,,42,,Michelle Betos,4-4-2002,Laura Rodriguez,Match Report,
2021-10-16,19:30,NWSL,Regular Season,Sat,Home,W,3,1,Pride,,,42,8488,Yūki Nagasato,4-2-3-1,Matthew Franz,Match Report,
2021-10-28,19:30,NWSL,Regular Season,Thu,Home,D,1,1,Gotham FC,,,45,6508,Yūki Nagasato,4-2-3-1,Samantha Martinez,Match Report,
2021-10-31,15:00,NWSL,Regular Season,Sun,Away,D,1,1,Gotham FC,,,37,6362,Yūki Nagasato,4-2-3-1,Karen Abt,Match Report,
